year	month	date	hour	minute	temp	t1	t2	t3	t4	t5	t6
2022	10	8	0	32	46						
2022	10	8	0	33	46						
2022	10	8	0	39	46						
2022	10	8	0	54	46						
2022	10	8	1	10	46						
2022	10	8	1	15	46						
2022	10	8	1	23	46						
2022	10	8	1	24	46						
2022	10	8	1	35	46						
2022	10	8	1	37	46						
2022	10	8	1	43	46						
2022	10	8	1	47	46						
2022	10	8	1	50	46						
2022	10	8	1	57	46						
2022	10	8	2	6	46						
2022	10	8	2	17	46						
2022	10	8	2	18	45						
2022	10	8	2	19	46						
2022	10	8	2	19	45						
2022	10	8	2	34	45						
2022	10	8	2	51	45						
2022	10	8	3	1	45						
2022	10	8	3	1	45						
2022	10	8	3	11	45						
2022	10	8	3	16	45						
2022	10	8	3	22	45						
2022	10	8	3	44	45						
2022	10	8	3	49	45						
2022	10	8	3	57	45						
2022	10	8	4	0	45						
2022	10	8	4	1	45						
2022	10	8	4	5	45						
2022	10	8	4	10	44						
2022	10	8	4	15	44						
2022	10	8	4	17	44						
2022	10	8	4	19	44						
2022	10	8	4	37	44						
2022	10	8	5	0	44						
2022	10	8	5	17	44						
2022	10	8	5	35	44						
2022	10	8	5	40	44						
2022	10	8	6	16	43						
2022	10	8	6	19	43						
2022	10	8	6	21	43						
2022	10	8	6	39	43						
2022	10	8	7	0	43						
2022	10	8	7	5	43						
2022	10	8	7	6	42						
2022	10	8	7	7	41						
2022	10	8	7	8	40						
2022	10	8	7	8	39						
2022	10	8	7	9	38						
2022	10	8	7	9	37						
2022	10	8	7	9	36						
2022	10	8	7	10	35						
2022	10	8	7	10	34						
2022	10	8	7	11	33						
2022	10	8	7	11	32						
2022	10	8	7	12	31						
2022	10	8	7	13	30						
2022	10	8	7	14	29						
2022	10	8	7	18	29						
2022	10	8	7	23	28						
2022	10	8	7	57	28						
2022	10	8	8	1	29						
2022	10	8	8	4	29						
2022	10	8	8	25	29						
2022	10	8	8	36	29						
2022	10	8	8	53	30						
2022	10	8	8	55	30						
2022	10	8	8	59	30						
2022	10	8	9	9	30						
2022	10	8	9	10	30						
2022	10	8	9	16	30						
2022	10	8	9	16	31						
2022	10	8	9	26	31						
2022	10	8	9	37	32						
2022	10	8	9	44	32						
2022	10	8	9	48	32						
2022	10	8	9	56	33						
2022	10	8	10	7	33						
2022	10	8	10	14	34						
2022	10	8	10	15	34						
2022	10	8	10	20	34						
2022	10	8	10	25	34						
2022	10	8	10	28	34						
2022	10	8	10	29	34						
2022	10	8	10	30	35						
2022	10	8	10	45	35						
2022	10	8	10	47	36						
2022	10	8	11	5	37						
2022	10	8	11	8	37						
2022	10	8	11	9	37						
2022	10	8	11	12	37						
2022	10	8	11	21	37						
2022	10	8	11	25	38						
2022	10	8	11	27	38						
2022	10	8	11	31	37						
2022	10	8	11	32	37						
2022	10	8	11	33	37						
2022	10	8	11	33	37						
2022	10	8	11	34	35						
2022	10	8	11	35	34						
2022	10	8	11	35	33						
2022	10	8	11	37	32						
2022	10	8	11	37	32						
2022	10	8	11	38	31						
2022	10	8	11	38	30						
2022	10	8	11	45	30						
2022	10	8	11	48	30						
2022	10	8	11	51	30						
2022	10	8	11	54	30						
2022	10	8	12	0	30						
2022	10	8	12	2	30						
2022	10	8	12	5	30						
2022	10	8	12	23	30						
2022	10	8	12	30	31						
2022	10	8	12	36	31						
2022	10	8	12	41	31						
2022	10	8	12	57	32						
2022	10	8	13	0	32						
2022	10	8	13	17	32						
2022	10	8	13	20	33						
2022	10	8	13	39	34						
2022	10	8	13	56	33						
2022	10	8	13	58	32						
2022	10	8	14	0	31						
2022	10	8	14	1	30						
2022	10	8	14	3	29						
2022	10	8	14	8	29						
